"ALUM BRIDGE","WV",39.04,-80.69
"ALUM CREEK","WV",38.28,-81.84
"ALVADA","OH",41.04,-83.39
"ALVA","FL",26.71,-81.61
"ALVA","OK",36.80,-98.66
"ALVARADO","MN",48.19,-96.99
"ALVARADO","TX",32.41,-97.21
"ALVATON","KY",36.86,-86.35
"ALVA","WY",44.70,-104.45
"ALVERTON","PA",40.12,-79.56
"ALVIN","IL",40.30,-87.60
"ALVIN","TX",29.43,-95.24
"ALVO","NE",40.87,-96.38
"ALVORD","IA",43.34,-96.30
"ALVORDTON","OH",41.66,-84.43
"ALVORD","TX",33.35,-97.69
"ALZADA","MT",45.23,-104.53
"AMADO","AZ",31.71,-111.02
"AMAGON","AR",35.56,-91.11
"AMA","LA",29.85,-90.28
"AMANA","IA",41.80,-91.86
"AMANDA","OH",39.65,-82.74
"AMANDA PARK","WA",47.47,-123.92
"AMARGOSA VALLEY","NV",36.53,-116.47
"AMARILLO","TX",35.20,-101.81
"AMAWALK","NY",41.29,-73.76
"AMAZONIA","MO",39.88,-94.89
"AMBERG","WI",45.50,-88.00
"AMBER","OK",35.16,-97.88
"AMBIA","IN",40.48,-87.51
"AMBLER","PA",40.15,-75.22
"AMBOY","IL",41.71,-89.33
"AMBOY","IN",40.60,-85.92
"AMBOY","MN",43.88,-94.15
"AMBOY","WA",45.93,-122.44
"AMBRIDGE","PA",40.59,-80.22
"AMBROSE","GA",31.59,-83.01
"AMBROSE","ND",48.95,-103.48
"AMELIA COURT HOUSE","VA",37.34,-77.96
"AMELIA","NE",42.23,-98.96
"AMELIA","OH",39.02,-84.21
"AMENIA","ND",47.00,-97.22
"AMENIA","NY",41.84,-73.55
"AMERICAN CANYON","CA",38.18,-122.25
"AMERICAN FALLS","ID",42.72,-112.99
"AMERICAN FORK","UT",40.39,-111.78
"AMERICUS","GA",32.06,-84.26
"AMERICUS","KS",38.50,-96.26
"AMERY","WI",45.30,-92.36
"AMESBURY","MA",42.85,-70.92
"AMES","IA",42.02,-93.62
"AMES","NE",41.45,-96.63
"AMES","OK",36.24,-98.18
"AMESVILLE","OH",39.40,-81.95
"AMHERST","CO",40.68,-102.17
"AMHERSTDALE","WV",37.80,-81.75
"AMHERST JUNCTION","WI",44.46,-89.31
"AMHERST","MA",42.37,-72.52
"AMHERST","NE",40.83,-99.26
"AMHERST","NH",42.86,-71.61
"AMHERST","OH",41.40,-82.23
"AMHERST","SD",45.73,-97.92
"AMHERST","TX",34.01,-102.41
"AMHERST","VA",37.58,-79.05
"AMHERST","WI",44.44,-89.28
"AMIDON","ND",46.48,-103.31
"AMIGO","WV",37.59,-81.34
"AMISSVILLE","VA",38.67,-77.99
"AMISTAD","NM",35.91,-103.15
"AMITE","LA",30.73,-90.51
"AMITY","AR",34.26,-93.46
"AMITY","MO",39.86,-94.43
"AMITY","OR",45.10,-123.23
"AMITY","PA",40.05,-80.20
"AMITYVILLE","NY",40.66,-73.41
"AMMA","WV",38.54,-81.24
"AMORET","MO",38.25,-94.58
"AMORITA","OK",36.92,-98.29
"AMORY","MS",33.98,-88.48
"AMSTERDAM","MO",38.34,-94.58
"AMSTERDAM","NY",42.94,-74.19
"AMSTERDAM","OH",40.47,-80.92
"AMSTON","CT",41.62,-72.37
"ANABEL","MO",39.75,-92.35
"ANACOCO","LA",31.25,-93.34
"ANACONDA","MT",46.12,-112.97
"ANACORTES","WA",48.46,-122.60
"ANADARKO","OK",35.06,-98.24
"ANAHEIM","CA",33.81,-117.91
"ANAHUAC","TX",29.76,-94.67
"ANAMOOSE","ND",47.88,-100.24
"ANAMOSA","IA",42.10,-91.28
"ANASCO","PR",18.28,-67.14
"ANATONE","WA",46.08,-117.27
"ANAWALT","WV",37.33,-81.44
"ANCHORAGE","AK",61.08,-149.70
"ANCHOR","IL",40.56,-88.53
"ANCHOR POINT","AK",59.82,-151.59
"ANCONA","IL",41.05,-88.76
"ANCRAMDALE","NY",42.03,-73.57
"ANCRAM","NY",42.05,-73.63
"ANDALE","KS",37.79,-97.62
"ANDALUSIA","AL",31.30,-86.48
"ANDALUSIA","IL",41.43,-90.72
"ANDERSON","AL",34.91,-87.27
"ANDERSON","CA",40.44,-122.35
"ANDERSON","IN",40.09,-85.68
"ANDERSON ISLAND","WA",47.15,-122.70
"ANDERSON","MO",36.65,-94.44
"ANDERSON","SC",34.51,-82.64
"ANDERSON","TX",30.55,-96.03
"ANDERSONVILLE","GA",32.19,-84.14
"ANDERSONVILLE","TN",36.20,-84.04
"ANDES","NY",42.18,-74.78
"ANDOVER","CT",41.73,-72.36
"ANDOVER","KS",37.69,-97.13
"ANDOVER","MA",42.65,-71.14
"ANDOVER","ME",44.63,-70.75
"ANDOVER","MN",45.25,-93.33
"ANDOVER","NH",43.43,-71.82
"ANDOVER","NJ",40.98,-74.74
"ANDOVER","NY",42.15,-77.79
"ANDOVER","OH",41.60,-80.56
"ANDOVER","SD",45.41,-97.90
"ANDREAS","PA",40.74,-75.82
"ANDREWS AIR FORCE BASE","MD",38.80,-76.87
"ANDREWS","IN",40.85,-85.60
"ANDREWS","NC",35.19,-83.82
"ANDREWS","SC",33.44,-79.56
"ANDREWS","TX",32.32,-102.54
"ANETA","ND",47.67,-97.98
"ANGELA","MT",46.67,-106.39
"ANGELICA","NY",42.30,-78.02
"ANGELS CAMP","CA",38.04,-120.61
"ANGELUS OAKS","CA",34.18,-116.86
"ANGIE","LA",30.96,-89.81
"ANGIER","NC",35.51,-78.73
"ANGLETON","TX",29.16,-95.42
"ANGOLA","IN",41.64,-85.00
"ANGOLA","NY",42.63,-79.02
"ANGORA","MN",47.77,-92.63
"ANGORA","NE",41.87,-103.10
"ANGUILLA","MS",32.97,-90.82
"ANGWIN","CA",38.57,-122.44
"ANIMAS","NM",31.94,-108.83
"ANITA","IA",41.44,-94.76
"ANITA","PA",41.01,-78.96
"ANIWA","WI",45.01,-89.20
"ANKENY","IA",41.71,-93.62
"ANNADA","MO",39.26,-90.82
"ANNA","IL",37.46,-89.24
"ANNANDALE","MN",45.26,-94.11
"ANNANDALE","NJ",40.64,-74.89
"ANNANDALE","VA",38.83,-77.21
"ANNA","OH",40.39,-84.17
"ANNAPOLIS","CA",38.71,-123.33
"ANNAPOLIS","IL",39.15,-87.81
"ANNAPOLIS JUNCTION","MD",39.12,-76.77
"ANNAPOLIS","MD",38.97,-76.50
"ANNAPOLIS","MO",37.35,-90.69
"ANN ARBOR","MI",42.27,-83.73
"ANNA","TX",33.35,-96.54
"ANNAWAN","IL",41.39,-89.90
"ANNEMANIE","AL",32.07,-87.56
"ANNISTON","AL",33.66,-85.81
"ANNONA","TX",33.58,-94.91
"ANNVILLE","KY",37.32,-83.96
"ANNVILLE","PA",40.33,-76.50
"ANOKA","MN",45.21,-93.39
"ANSELMO","NE",41.61,-99.86
"ANSLEY","NE",41.28,-99.38
"ANSONIA","CT",41.34,-73.06
"ANSONIA","OH",40.21,-84.63
"ANSON","ME",44.79,-69.88
"ANSON","TX",32.75,-99.89
"ANSTED","WV",38.13,-81.10
"ANTELOPE","CA",38.71,-121.36
"ANTELOPE","MT",48.69,-104.36
"ANTELOPE","OR",44.95,-120.65
"ANTHON","IA",42.38,-95.86
"ANTHONY","FL",29.28,-82.11
"ANTHONY","KS",37.15,-98.02
"ANTHONY","NM",32.00,-106.59
"ANTHONY","TX",31.99,-106.59
"ANTIGO","WI",45.14,-89.15
"ANTIMONY","UT",38.09,-112.00
"ANTIOCH","CA",37.96,-121.76
"ANTIOCH","IL",42.47,-88.07
"ANTIOCH","TN",36.04,-86.64
"ANTLER","ND",48.97,-101.28
"ANTLERS","OK",34.23,-95.61
"ANTON CHICO","NM",35.20,-105.14
"ANTON","CO",39.75,-103.22
"ANTONITO","CO",37.07,-106.01
"ANTON","TX",33.81,-102.16
"ANTRIM","NH",43.03,-71.94
"ANTWERP","NY",44.19,-75.60
"ANTWERP","OH",41.18,-84.73
"ANZA","CA",33.53,-116.68
"APACHE JUNCTION","AZ",33.38,-111.51
"APACHE","OK",34.89,-98.35
"APALACHICOLA","FL",29.72,-84.99
"APALACHIN","NY",42.07,-76.16
"APEX","NC",35.67,-78.81
"APISON","TN",35.01,-85.00
"APLINGTON","IA",42.58,-92.88
"APOLLO BEACH","FL",27.78,-82.39
"APOLLO","PA",40.58,-79.56
"APOPKA","FL",28.68,-81.51
"APPALACHIA","VA",36.90,-82.78
"APPLE CREEK","OH",40.75,-81.84
"APPLEGATE","CA",39.00,-120.99
"APPLEGATE","MI",43.35,-82.63
"APPLE GROVE","WV",38.70,-82.17
"APPLE RIVER","IL",42.50,-90.09
"APPLE SPRINGS","TX",31.26,-94.97
"APPLETON CITY","MO",38.19,-94.03
"APPLETON","MN",45.20,-96.02
"APPLETON","NY",43.31,-78.63
"APPLETON","WA",45.85,-121.28
"APPLETON","WI",44.26,-88.39
"APPLE VALLEY","CA",34.42,-117.14
"APPLING","GA",33.60,-82.31
"APPOMATTOX","VA",37.35,-78.82
"APTOS","CA",37.00,-121.87
"AQUASCO","MD",38.58,-76.70
"AQUILLA","TX",31.85,-97.22
"ARAB","AL",34.32,-86.50
"ARABI","GA",31.83,-83.73
"ARABI","LA",29.95,-89.99
"ARAGON","GA",34.04,-85.05
"ARAGON","NM",33.88,-108.53
"ARANSAS PASS","TX",27.90,-97.14
"ARAPAHOE","CO",38.85,-102.17
"ARAPAHOE","NC",35.01,-76.82
"ARAPAHOE","NE",40.30,-99.89
"ARAPAHOE","WY",42.97,-108.47
"ARAPAHO","OK",35.57,-98.95
"ARARAT","NC",36.40,-80.56
"ARARAT","VA",36.60,-80.51
"ARBELA","MO",40.46,-92.01
"ARBON","ID",42.53,-112.55
"ARBOVALE","WV",38.45,-79.75
"ARBUCKLE","CA",39.02,-122.04
"ARBYRD","MO",36.05,-90.24
"ARCADE","NY",42.53,-78.43
"ARCADIA","CA",34.12,-118.05
"ARCADIA","FL",27.21,-81.85
"ARCADIA","IA",42.08,-95.04
"ARCADIA","IN",40.17,-86.02
"ARCADIA","KS",37.64,-94.62
"ARCADIA","LA",32.55,-92.92
"ARCADIA","MI",44.51,-86.23
"ARCADIA","MO",37.58,-90.62
"ARCADIA","NE",41.42,-99.12
"ARCADIA","OH",41.11,-83.51
"ARCADIA","OK",35.66,-97.32
"ARCADIA","WI",44.25,-91.49
"ARCANUM","OH",39.99,-84.55
"ARCATA","CA",40.85,-124.05
"ARCHBALD","PA",41.50,-75.53
"ARCHBOLD","OH",41.51,-84.30
"ARCH CAPE","OR",45.84,-123.86
"ARCHER","FL",29.53,-82.51
"ARCHER","IA",43.11,-95.74
"ARCHER","NE",41.16,-98.13
"ARCHIE","MO",38.48,-94.34
"ARCO","ID",43.65,-113.28
"ARCOLA","IL",39.68,-88.30
"ARCOLA","MO",37.54,-93.87
"ARCO","MN",44.38,-96.18
"ARDARA","PA",40.36,-79.73
